Train 68, loss: 0.643041, train acc: 0.998461, train avg acc: 0.998473, train iou: 0.996492
Test 68, loss: 0.640294, test acc: 0.999323, test avg acc: 0.999436, test iou: 0.998710
Train 69, loss: 0.642992, train acc: 0.998503, train avg acc: 0.998515, train iou: 0.996584
Test 69, loss: 0.640878, test acc: 0.999316, test avg acc: 0.999377, test iou: 0.998702
Train 70, loss: 0.642951, train acc: 0.998526, train avg acc: 0.998545, train iou: 0.996633
Test 70, loss: 0.639956, test acc: 0.999295, test avg acc: 0.999400, test iou: 0.998694
Train 71, loss: 0.642926, train acc: 0.998557, train avg acc: 0.998572, train iou: 0.996700
Test 71, loss: 0.639676, test acc: 0.999463, test avg acc: 0.999519, test iou: 0.999023
Train 72, loss: 0.642898, train acc: 0.998569, train avg acc: 0.998583, train iou: 0.996729
Test 72, loss: 0.640346, test acc: 0.999205, test avg acc: 0.999324, test iou: 0.998492
Train 73, loss: 0.642869, train acc: 0.998596, train avg acc: 0.998616, train iou: 0.996786
Test 73, loss: 0.639785, test acc: 0.999379, test avg acc: 0.999454, test iou: 0.998847
Train 74, loss: 0.642838, train acc: 0.998628, train avg acc: 0.998651, train iou: 0.996861
Test 74, loss: 0.639730, test acc: 0.999442, test avg acc: 0.999490, test iou: 0.998978
Train 75, loss: 0.642794, train acc: 0.998663, train avg acc: 0.998687, train iou: 0.996938
Test 75, loss: 0.639699, test acc: 0.999519, test avg acc: 0.999577, test iou: 0.999117
Train 76, loss: 0.642790, train acc: 0.998668, train avg acc: 0.998695, train iou: 0.996949
Test 76, loss: 0.640183, test acc: 0.999323, test avg acc: 0.999420, test iou: 0.998741
Train 77, loss: 0.642736, train acc: 0.998704, train avg acc: 0.998733, train iou: 0.997027
Test 77, loss: 0.640819, test acc: 0.999400, test avg acc: 0.999486, test iou: 0.998880
Train 78, loss: 0.642721, train acc: 0.998722, train avg acc: 0.998755, train iou: 0.997067
Test 78, loss: 0.640029, test acc: 0.999386, test avg acc: 0.999461, test iou: 0.998854
Train 79, loss: 0.642701, train acc: 0.998733, train avg acc: 0.998764, train iou: 0.997090
Test 79, loss: 0.639861, test acc: 0.999519, test avg acc: 0.999557, test iou: 0.999104
Train 80, loss: 0.642674, train acc: 0.998760, train avg acc: 0.998795, train iou: 0.997152
Test 80, loss: 0.639665, test acc: 0.999484, test avg acc: 0.999543, test iou: 0.999052
Train 81, loss: 0.642652, train acc: 0.998775, train avg acc: 0.998807, train iou: 0.997183
Test 81, loss: 0.639623, test acc: 0.999449, test avg acc: 0.999525, test iou: 0.998967
Train 82, loss: 0.642630, train acc: 0.998797, train avg acc: 0.998834, train iou: 0.997235
Test 82, loss: 0.639747, test acc: 0.999568, test avg acc: 0.999644, test iou: 0.999177
Train 83, loss: 0.642607, train acc: 0.998818, train avg acc: 0.998857, train iou: 0.997280
Test 83, loss: 0.639602, test acc: 0.999540, test avg acc: 0.999563, test iou: 0.999149
Train 84, loss: 0.642592, train acc: 0.998829, train avg acc: 0.998868, train iou: 0.997305
Test 84, loss: 0.639677, test acc: 0.999470, test avg acc: 0.999535, test iou: 0.999024
Train 85, loss: 0.642570, train acc: 0.998842, train avg acc: 0.998882, train iou: 0.997333
Test 85, loss: 0.639555, test acc: 0.999547, test avg acc: 0.999611, test iou: 0.999170
Train 86, loss: 0.642556, train acc: 0.998860, train avg acc: 0.998902, train iou: 0.997373
Test 86, loss: 0.639584, test acc: 0.999533, test avg acc: 0.999577, test iou: 0.999139
Train 87, loss: 0.642547, train acc: 0.998865, train avg acc: 0.998904, train iou: 0.997384
Test 87, loss: 0.639576, test acc: 0.999519, test avg acc: 0.999576, test iou: 0.999103
Train 88, loss: 0.642523, train acc: 0.998884, train avg acc: 0.998925, train iou: 0.997426
Test 88, loss: 0.639567, test acc: 0.999498, test avg acc: 0.999574, test iou: 0.999066
Train 89, loss: 0.642509, train acc: 0.998894, train avg acc: 0.998934, train iou: 0.997448
Test 89, loss: 0.639532, test acc: 0.999554, test avg acc: 0.999614, test iou: 0.999191
Train 90, loss: 0.642497, train acc: 0.998908, train avg acc: 0.998951, train iou: 0.997481
Test 90, loss: 0.639572, test acc: 0.999463, test avg acc: 0.999534, test iou: 0.998971
Train 91, loss: 0.642484, train acc: 0.998914, train avg acc: 0.998955, train iou: 0.997489
Test 91, loss: 0.639521, test acc: 0.999512, test avg acc: 0.999580, test iou: 0.999110
Train 92, loss: 0.642474, train acc: 0.998924, train avg acc: 0.998971, train iou: 0.997517
Test 92, loss: 0.639581, test acc: 0.999463, test avg acc: 0.999532, test iou: 0.998994
Train 93, loss: 0.642467, train acc: 0.998928, train avg acc: 0.998974, train iou: 0.997524
Test 93, loss: 0.639510, test acc: 0.999547, test avg acc: 0.999596, test iou: 0.999162
Train 94, loss: 0.642455, train acc: 0.998942, train avg acc: 0.998986, train iou: 0.997554
Test 94, loss: 0.639533, test acc: 0.999498, test avg acc: 0.999547, test iou: 0.999047
Train 95, loss: 0.642451, train acc: 0.998942, train avg acc: 0.998987, train iou: 0.997556
Test 95, loss: 0.639516, test acc: 0.999574, test avg acc: 0.999625, test iou: 0.999208
Train 96, loss: 0.642446, train acc: 0.998951, train avg acc: 0.998995, train iou: 0.997572
Test 96, loss: 0.639536, test acc: 0.999540, test avg acc: 0.999599, test iou: 0.999140
Train 97, loss: 0.642439, train acc: 0.998954, train avg acc: 0.998999, train iou: 0.997581
Test 97, loss: 0.639522, test acc: 0.999540, test avg acc: 0.999593, test iou: 0.999145
Train 98, loss: 0.642438, train acc: 0.998955, train avg acc: 0.999001, train iou: 0.997585
Test 98, loss: 0.639521, test acc: 0.999568, test avg acc: 0.999614, test iou: 0.999186
Train 99, loss: 0.642434, train acc: 0.998964, train avg acc: 0.999011, train iou: 0.997605
Test 99, loss: 0.639472, test acc: 0.999568, test avg acc: 0.999614, test iou: 0.999212
