Namespace(batch_size=32, dataset='FREEMUG', dropout=0.5, emb_dims=1024, epochs=100, eval=False, exp_name='free_mug_am_cos', k=20, loss_type='cosface', lr=0.001, model='dgcnn', model_root='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_area='all', test_batch_size=16, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='FREEMUG', dropout=0.5, emb_dims=1024, epochs=100, eval=False, exp_name='free_mug_am_cos', k=20, loss_type='cosface', lr=0.001, model='dgcnn', model_root='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_area='all', test_batch_size=16, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Test 67, loss: 0.489059, test acc: 0.973828, test avg acc: 0.940224, test iou: 0.923979
Train 68, loss: 0.476615, train acc: 0.951472, train avg acc: 0.889285, train iou: 0.859896
Test 68, loss: 0.498296, test acc: 0.972545, test avg acc: 0.937268, test iou: 0.920274
Train 69, loss: 0.471864, train acc: 0.951722, train avg acc: 0.889844, train iou: 0.860605
Test 69, loss: 0.509113, test acc: 0.972112, test avg acc: 0.936256, test iou: 0.919023
Train 70, loss: 0.470925, train acc: 0.951213, train avg acc: 0.888707, train iou: 0.859163
Test 70, loss: 0.547721, test acc: 0.977637, test avg acc: 0.949228, test iou: 0.935015
Train 71, loss: 0.465365, train acc: 0.951061, train avg acc: 0.888343, train iou: 0.858724
Test 71, loss: 0.481547, test acc: 0.976562, test avg acc: 0.946589, test iou: 0.931888
Train 72, loss: 0.464763, train acc: 0.951496, train avg acc: 0.889363, train iou: 0.859972
Test 72, loss: 0.482459, test acc: 0.976228, test avg acc: 0.945709, test iou: 0.930905
Train 73, loss: 0.456352, train acc: 0.952052, train avg acc: 0.890616, train iou: 0.861551
Test 73, loss: 0.487724, test acc: 0.976172, test avg acc: 0.945605, test iou: 0.930747
Train 74, loss: 0.454039, train acc: 0.952149, train avg acc: 0.890836, train iou: 0.861829
Test 74, loss: 0.479304, test acc: 0.976618, test avg acc: 0.946602, test iou: 0.932033
Train 75, loss: 0.449610, train acc: 0.952875, train avg acc: 0.892505, train iou: 0.863903
Test 75, loss: 0.478893, test acc: 0.976758, test avg acc: 0.946944, test iou: 0.932439
Train 76, loss: 0.447199, train acc: 0.953273, train avg acc: 0.893405, train iou: 0.865035
Test 76, loss: 0.469296, test acc: 0.974902, test avg acc: 0.942726, test iou: 0.927085
Train 77, loss: 0.441263, train acc: 0.953845, train avg acc: 0.894720, train iou: 0.866671
Test 77, loss: 0.471151, test acc: 0.977651, test avg acc: 0.949008, test iou: 0.935022
Train 78, loss: 0.437509, train acc: 0.953942, train avg acc: 0.894944, train iou: 0.866949
Test 78, loss: 0.461460, test acc: 0.977860, test avg acc: 0.949555, test iou: 0.935636
Train 79, loss: 0.433050, train acc: 0.954736, train avg acc: 0.896748, train iou: 0.869213
Test 79, loss: 0.484669, test acc: 0.979953, test avg acc: 0.954499, test iou: 0.941706
Train 80, loss: 0.428905, train acc: 0.954958, train avg acc: 0.897268, train iou: 0.869850
Test 80, loss: 0.455917, test acc: 0.977176, test avg acc: 0.947878, test iou: 0.933645
Train 81, loss: 0.426222, train acc: 0.954891, train avg acc: 0.897114, train iou: 0.869659
Test 81, loss: 0.438603, test acc: 0.978725, test avg acc: 0.951486, test iou: 0.938130
Train 82, loss: 0.420783, train acc: 0.955620, train avg acc: 0.898785, train iou: 0.871742
Test 82, loss: 0.448037, test acc: 0.980999, test avg acc: 0.956867, test iou: 0.944730
Train 83, loss: 0.416897, train acc: 0.955439, train avg acc: 0.898366, train iou: 0.871225
Test 83, loss: 0.446392, test acc: 0.977497, test avg acc: 0.948565, test iou: 0.934566
Train 84, loss: 0.413052, train acc: 0.956514, train avg acc: 0.900844, train iou: 0.874303
Test 84, loss: 0.430505, test acc: 0.979632, test avg acc: 0.953513, test iou: 0.940748
Train 85, loss: 0.408645, train acc: 0.956683, train avg acc: 0.901226, train iou: 0.874785
Test 85, loss: 0.428727, test acc: 0.977902, test avg acc: 0.949536, test iou: 0.935742
Train 86, loss: 0.408261, train acc: 0.956963, train avg acc: 0.901856, train iou: 0.875581
Test 86, loss: 0.434221, test acc: 0.980790, test avg acc: 0.956343, test iou: 0.944119
Train 87, loss: 0.400668, train acc: 0.957655, train avg acc: 0.903431, train iou: 0.877558
Test 87, loss: 0.427067, test acc: 0.980762, test avg acc: 0.956279, test iou: 0.944039
Train 88, loss: 0.397529, train acc: 0.957774, train avg acc: 0.903706, train iou: 0.877899
Test 88, loss: 0.414064, test acc: 0.980469, test avg acc: 0.955472, test iou: 0.943175
Train 89, loss: 0.394830, train acc: 0.957926, train avg acc: 0.904045, train iou: 0.878333
Test 89, loss: 0.414526, test acc: 0.980734, test avg acc: 0.956078, test iou: 0.943942
Train 90, loss: 0.390705, train acc: 0.958707, train avg acc: 0.905846, train iou: 0.880571
Test 90, loss: 0.407862, test acc: 0.981906, test avg acc: 0.958848, test iou: 0.947345
Train 91, loss: 0.388680, train acc: 0.958932, train avg acc: 0.906366, train iou: 0.881217
Test 91, loss: 0.406381, test acc: 0.981627, test avg acc: 0.958233, test iou: 0.946540
Train 92, loss: 0.386136, train acc: 0.959134, train avg acc: 0.906837, train iou: 0.881797
Test 92, loss: 0.410600, test acc: 0.981515, test avg acc: 0.957864, test iou: 0.946204
Train 93, loss: 0.383509, train acc: 0.958600, train avg acc: 0.905606, train iou: 0.880267
Test 93, loss: 0.408271, test acc: 0.981529, test avg acc: 0.957987, test iou: 0.946255
Train 94, loss: 0.381696, train acc: 0.958656, train avg acc: 0.905729, train iou: 0.880426
Test 94, loss: 0.403277, test acc: 0.980776, test avg acc: 0.956151, test iou: 0.944061
